Drug Name,Drug Class,
A Mulsin,Vitamin A,
A Thru Z Advanced Formula Tab,Vitamin A (Acetate),
A Thru Z Advantage Tablet,Biotin,
A Thru Z Caplet,Vitamin C (Ascorbic Acid),
A Thru Z Select Caplet,Biotin,
A+D Original Topical Ointment,Lanolin,
A+D Topical Ointment,Lanolin,
A+D Zinc Oxide,Dimethicone,
A+D Zinc Oxide W/Aloe Cream,Dimethicone,
A-Caro-25,Vitamin A,
A-COF DH Syrup,Hydrocodone Bitartrate,
A-Free Prenatal Tablet,"Bioflavonoids, Biotin",
A-Hydrocort,Hydrocortisone Sodium Succinate,
A-Ketoglutaric Acid for Cmpd,Alpha-ketoglutaric acid Bulk powder,
A-Mantle Cream,Petrolatum Topical cream,
A-Methapred,Methylprednisolone Sodium Succinate,
A-R Extreme,Menthol,
A-Spas S/L,Hyoscyamine Sulfate,
A-Tan,Guaifenesin,
A.A.G.C. TeroDerm Cr Comp Kit,Amantadine Hydrochloride,
A.R.M. Allergy Relief Tablet,Chlorpheniramine Maleate,
A/B Otic Drops,Antipyrine,
A/B Otic Solution,Antipyrine,
A/T/S,Erythromycin,
A200 Lice Control Spray,"Lice Killing Spray, Non-human application",
A200 Lice Killing Shampoo,Piperonyl Butoxide,
A200 Lice Treatment Kit,Piperonyl Butoxide,
AABP Otic Solution,Acetic Acid,
Abacavir,Abacavir Sulfate,
Abacavir/Lamivud/Zidovu Tablet,Abacavir Sulfate,
Abacavir/Lamivudine Tablet,Abacavir Sulfate,
Abbokinase,Urokinase,
ABC Plus Multivit/Multimin Tab,Vitamin A (Acetate),
ABDEK MultiVit + Zinc Softgel,Biotin,
ABDEK MultiVit Chewable Tablet,Biotin,
ABDEK MultiVit Pediatric Drop,Biotin,
Abelcet,Amphotericin B Phospholipid Complex,
Abilify,Aripiprazole,
Abilify Discmelt,Aripiprazole,
Abilify Maint,Aripiprazole,
Abilify Maintena,Aripiprazole,
Abilify MyCite,Aripiprazole,
Abiraterone,Abiraterone acetate,
Abraxane,"Paclitaxel, albumin-bound (human)",
Abreva,Docosanol,
Abreva Conceal Cold Sore Patch,Bandage (unspecified),
Absolute Ethanol,Alcohol,
Absorbase Topical Ointment,White Petrolatum Base Topical ointment,
Absorbine Athletes Foot Cream,Tolnaftate,
Absorbine Jr,Menthol,
Absorbine Jr,Tolnaftate,
Absorbine Jr Arthritis ES Soln,"Capsaicin, Menthol Topical solution",
Absorica,Isotretinoin,
ABSTRAL,Fentanyl,
Acacia,Acacia Senegal Bulk powder,
Acacia,Acacia Senegal Bulk powder,
Acacia Gum NF,Acacia Senegal Bulk powder,
Acacia NF,Acacia Senegal Bulk powder,
Acai,Acai,
Acai Berry,Acai,
Acai Super Fruit,Acai,
Acai Weight Control Capsule,"Acai, Chromium",
Acai/Green Tea RR Softgel,Acai,
Acai/Green Tea Softgel,Acai,
Acamprosate,Acamprosate Calcium,
Acanya,Benzoyl Peroxide,
Acanya,Clindamycin Phosphate,
Acapella,Vibratory PEP Device,
Acarbose,Acarbose,
Acarbose EP,Acarbose Bulk powder,
Accolate,Zafirlukast,
Accu-Chek Active Control Soln,Glucose Meter Control Solution,
Accu-Chek Active Meter Kit,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Active Test Strip,Glucose Meter Test Strips,
Accu-Chek Advant Control Soln,Glucose Meter Control Solution,
Accu-Chek Advantage System,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Advantage Test Strip,Glucose Meter Test Strips,
Accu-Chek Aviva Connect Mon,Glucose Meter,
Accu-Chek Aviva Glucose Meter,Glucose Meter,
